_ep_player,_ep_stat,_ep_tier,_ep_dir,_ep_line,mu,edge_at_pp_line,implied_direction,apply_prior,external_prior_score,external_prior_n,external_prior_sources,delta_p
Bam Adebayo,FG3M,DEMON,OVER,3.5,,,,False,0.0,0,,0.0
Bam Adebayo,PA,STANDARD,UNDER,23.5,25.124103717049945,1.6241037170499446,OVER,False,0.0,0,rotowire,0.0
Bam Adebayo,PRA,GOBLIN,OVER,32.5,36.17875331065771,3.6787533106577115,OVER,True,0.8414884798647823,1,rotowire,0.025244654395943467
Bam Adebayo,PRA,STANDARD,UNDER,34.5,36.17875331065771,1.6787533106577115,OVER,False,0.0,0,rotowire,0.0
Bam Adebayo,PRA,DEMON,OVER,40.5,36.17875331065771,-4.3212466893422885,UNDER,False,0.0,0,rotowire,0.0
Bam Adebayo,PR,STANDARD,UNDER,31.5,32.84364755073869,1.3436475507386874,OVER,False,0.0,0,rotowire,0.0
Bam Adebayo,PTS,GOBLIN,OVER,18.5,21.78899795713092,3.2889979571309205,OVER,True,0.7991778329659404,1,rotowire,0.02397533498897821
Bam Adebayo,PTS,STANDARD,UNDER,20.5,21.78899795713092,1.2889979571309205,OVER,False,0.0,0,rotowire,0.0
Bam Adebayo,PTS,DEMON,OVER,22.5,21.78899795713092,-0.7110020428690795,UNDER,False,0.0,0,rotowire,0.0
Bam Adebayo,RA,GOBLIN,OVER,11.5,14.389755353526798,2.889755353526798,OVER,True,0.745723825098125,1,rotowire,0.022371714752943746
Bam Adebayo,RA,STANDARD,OVER,13.5,14.389755353526798,0.8897553535267981,OVER,True,0.2881844278158705,1,rotowire,0.008645532834476114
Bam Adebayo,RA,DEMON,OVER,17.5,14.389755353526798,-3.110244646473202,UNDER,False,0.0,0,rotowire,0.0
Bam Adebayo,REB,DEMON,OVER,11.5,11.054649593607772,-0.4453504063922278,UNDER,False,0.0,0,rotowire,0.0
Bam Adebayo,REB,GOBLIN,OVER,8.5,11.054649593607772,2.554649593607772,OVER,True,0.6918782877511529,1,rotowire,0.020756348632534585
Bobby Portis,AST,DEMON,OVER,2.5,,,,False,0.0,0,,0.0
Bobby Portis,FG3M,STANDARD,OVER,1.5,,,,False,0.0,0,,0.0
Bobby Portis,FG3M,DEMON,OVER,3.5,,,,False,0.0,0,,0.0
Bobby Portis,PA,STANDARD,OVER,14.5,24.388817328573182,9.888817328573182,OVER,True,0.9972626563905705,1,rotowire,0.029917879691717116
